frame,t,yellow_frac
374,12.4667,0.01284
375,12.5000,0.01266
376,12.5333,0.01261
377,12.5667,0.01262
378,12.6000,0.01259
379,12.6333,0.01259
380,12.6667,0.01250
381,12.7000,0.01247
382,12.7333,0.01242
383,12.7667,0.01239
384,12.8000,0.01235
385,12.8333,0.01232
386,12.8667,0.01244
387,12.9000,0.01254
388,12.9333,0.01254
389,12.9667,0.01245
390,13.0000,0.01237
391,13.0333,0.01241
392,13.0667,0.01239
393,13.1000,0.01232
394,13.1333,0.01230
395,13.1667,0.01244
396,13.2000,0.01254
397,13.2333,0.01265
398,13.2667,0.01260
399,13.3000,0.01254
400,13.3333,0.01254
401,13.3667,0.01264
402,13.4000,0.01257
403,13.4333,0.01264
404,13.4667,0.01260
405,13.5000,0.01256
406,13.5333,0.01251
407,13.5667,0.01253
408,13.6000,0.01244
409,13.6333,0.01242
410,13.6667,0.01244
411,13.7000,0.01241
412,13.7333,0.01248
413,13.7667,0.01243
414,13.8000,0.01248
415,13.8333,0.01251
416,13.8667,0.01243
417,13.9000,0.01247
418,13.9333,0.01243
419,13.9667,0.01242
420,14.0000,0.01251
421,14.0333,0.00000
422,14.0667,0.00000
423,14.1000,0.00000
424,14.1333,0.00000
425,14.1667,0.00000
426,14.2000,0.00000
427,14.2333,0.00000
428,14.2667,0.00000
429,14.3000,0.00000
430,14.3333,0.00000
431,14.3667,0.00000
432,14.4000,0.00000
433,14.4333,0.00000
434,14.4667,0.00000
435,14.5000,0.00000
436,14.5333,0.00000
437,14.5667,0.00000
438,14.6000,0.00000
439,14.6333,0.00000
440,14.6667,0.00000
441,14.7000,0.00000
442,14.7333,0.00000
443,14.7667,0.00000
444,14.8000,0.00000
445,14.8333,0.00000
446,14.8667,0.00000
447,14.9000,0.00000
448,14.9333,0.00000
449,14.9667,0.00000
450,15.0000,0.00000
451,15.0333,0.00000
452,15.0667,0.00000
453,15.1000,0.00000
454,15.1333,0.00000
455,15.1667,0.00000
456,15.2000,0.00000
457,15.2333,0.00000
458,15.2667,0.00000
459,15.3000,0.00000
460,15.3333,0.00000
461,15.3667,0.00000
462,15.4000,0.00000
463,15.4333,0.00000
464,15.4667,0.00000
465,15.5000,0.00000
466,15.5333,0.00000
467,15.5667,0.00000
468,15.6000,0.00000
469,15.6333,0.00000
470,15.6667,0.00000
471,15.7000,0.00000
472,15.7333,0.00000
473,15.7667,0.00000
474,15.8000,0.00000
475,15.8333,0.00000
476,15.8667,0.00000
477,15.9000,0.00000
478,15.9333,0.00000
479,15.9667,0.00000
480,16.0000,0.00000
481,16.0333,0.00000
482,16.0667,0.00000
483,16.1000,0.00000
484,16.1333,0.00000
485,16.1667,0.00000
486,16.2000,0.00000
487,16.2333,0.00000
488,16.2667,0.00000
489,16.3000,0.00000
490,16.3333,0.00000
491,16.3667,0.00000
492,16.4000,0.00000
493,16.4333,0.00000
494,16.4667,0.00000
495,16.5000,0.00000
496,16.5333,0.00000
497,16.5667,0.00000
498,16.6000,0.00000
499,16.6333,0.00000
500,16.6667,0.00000
501,16.7000,0.00000
502,16.7333,0.00000
503,16.7667,0.00000
504,16.8000,0.00000
505,16.8333,0.00000
506,16.8667,0.00000
507,16.9000,0.00000
508,16.9333,0.00000
509,16.9667,0.00000
510,17.0000,0.00000
511,17.0333,0.00000
512,17.0667,0.00000
513,17.1000,0.00000
514,17.1333,0.00000
515,17.1667,0.00000
516,17.2000,0.00000
517,17.2333,0.00000
518,17.2667,0.00000
519,17.3000,0.00000
520,17.3333,0.00000
521,17.3667,0.00000
