frame,t,diff
424,14.1333,0.00726
425,14.1667,0.01019
426,14.2000,0.01211
427,14.2333,0.01167
428,14.2667,0.01547
429,14.3000,0.01817
430,14.3333,0.02012
431,14.3667,0.02025
432,14.4000,0.01923
433,14.4333,0.01835
434,14.4667,0.01633
435,14.5000,0.01557
436,14.5333,0.01061
437,14.5667,0.00930
438,14.6000,0.00872
439,14.6333,0.00991
440,14.6667,0.00810
441,14.7000,0.00718
442,14.7333,0.00578
443,14.7667,0.00440
444,14.8000,0.00351
445,14.8333,0.00291
446,14.8667,0.00286
447,14.9000,0.00458
448,14.9333,0.00819
449,14.9667,0.01183
450,15.0000,0.01363
451,15.0333,0.01295
452,15.0667,0.01168
453,15.1000,0.00951
454,15.1333,0.00765
455,15.1667,0.01181
456,15.2000,0.00970
457,15.2333,0.01177
458,15.2667,0.01563
459,15.3000,0.01631
460,15.3333,0.01097
461,15.3667,0.00997
462,15.4000,0.01184
463,15.4333,0.01002
464,15.4667,0.01336
465,15.5000,0.01622
466,15.5333,0.01557
467,15.5667,0.01612
468,15.6000,0.00892
469,15.6333,0.01033
470,15.6667,0.00989
471,15.7000,0.00763
472,15.7333,0.00518
473,15.7667,0.00497
474,15.8000,0.00423
475,15.8333,0.00318
476,15.8667,0.00182
477,15.9000,0.00311
478,15.9333,0.00458
479,15.9667,0.00418
480,16.0000,0.00443
481,16.0333,0.00555
482,16.0667,0.00717
483,16.1000,0.00932
484,16.1333,0.01021
485,16.1667,0.00987
486,16.2000,0.00801
487,16.2333,0.00744
488,16.2667,0.00792
489,16.3000,0.01037
490,16.3333,0.00717
491,16.3667,0.00945
492,16.4000,0.01015
493,16.4333,0.01231
494,16.4667,0.01197
495,16.5000,0.01154
496,16.5333,0.00965
497,16.5667,0.00878
498,16.6000,0.00782
499,16.6333,0.00802
500,16.6667,0.00931
501,16.7000,0.00846
502,16.7333,0.00594
503,16.7667,0.00825
504,16.8000,0.00754
505,16.8333,0.01035
506,16.8667,0.00852
507,16.9000,0.00993
508,16.9333,0.01502
509,16.9667,0.01812
510,17.0000,0.01680
511,17.0333,0.01225
512,17.0667,0.00730
513,17.1000,0.01239
514,17.1333,0.01320
515,17.1667,0.01252
516,17.2000,0.01115
517,17.2333,0.01261
518,17.2667,0.01058
519,17.3000,0.00797
520,17.3333,0.00536
521,17.3667,0.00710
522,17.4000,0.00877
523,17.4333,0.00839
524,17.4667,0.00610
525,17.5000,0.00785
526,17.5333,0.01388
527,17.5667,0.01842
528,17.6000,0.02027
529,17.6333,0.01820
530,17.6667,0.01272
531,17.7000,0.01024
532,17.7333,0.00837
533,17.7667,0.01141
534,17.8000,0.01228
535,17.8333,0.01383
536,17.8667,0.01044
537,17.9000,0.00533
538,17.9333,0.00621
539,17.9667,0.00878
540,18.0000,0.00962
541,18.0333,0.00818
542,18.0667,0.00477
543,18.1000,0.00555
544,18.1333,0.00610
545,18.1667,0.00936
546,18.2000,0.01020
547,18.2333,0.01126
548,18.2667,0.01188
549,18.3000,0.01912
550,18.3333,0.02133
551,18.3667,0.02032
552,18.4000,0.01610
553,18.4333,0.00804
554,18.4667,0.00764
555,18.5000,0.01453
556,18.5333,0.01771
557,18.5667,0.02137
558,18.6000,0.02020
559,18.6333,0.01787
560,18.6667,0.01268
561,18.7000,0.01039
562,18.7333,0.01101
563,18.7667,0.01482
564,18.8000,0.01734
565,18.8333,0.01829
566,18.8667,0.01826
567,18.9000,0.01871
568,18.9333,0.02646
569,18.9667,0.01381
570,19.0000,0.01091
571,19.0333,0.00899
572,19.0667,0.01214
573,19.1000,0.01888
574,19.1333,0.02412
575,19.1667,0.02657
576,19.2000,0.02777
577,19.2333,0.02878
578,19.2667,0.03200
579,19.3000,0.03433
580,19.3333,0.03344
581,19.3667,0.03199
582,19.4000,0.02857
583,19.4333,0.02551
584,19.4667,0.02294
585,19.5000,0.02139
586,19.5333,0.01902
587,19.5667,0.01757
588,19.6000,0.01650
589,19.6333,0.01490
590,19.6667,0.01251
591,19.7000,0.01119
592,19.7333,0.01016
593,19.7667,0.01034
594,19.8000,0.01002
595,19.8333,0.01056
596,19.8667,0.01027
597,19.9000,0.00889
598,19.9333,0.00786
599,19.9667,0.00626
600,20.0000,0.00487
601,20.0333,0.00672
602,20.0667,0.00665
603,20.1000,0.00626
604,20.1333,0.00549
605,20.1667,0.00384
606,20.2000,0.00300
607,20.2333,0.00324
608,20.2667,0.64183
609,20.3000,0.00587
610,20.3333,0.00660
611,20.3667,0.00747
612,20.4000,0.00704
613,20.4333,0.00713
614,20.4667,0.00583
615,20.5000,0.00317
616,20.5333,0.00383
617,20.5667,0.00460
618,20.6000,0.00455
619,20.6333,0.00464
620,20.6667,0.00283
621,20.7000,0.00156
622,20.7333,0.00157
623,20.7667,0.00172
624,20.8000,0.00203
625,20.8333,0.00195
626,20.8667,0.00127
627,20.9000,0.00142
628,20.9333,0.00153
629,20.9667,0.00156
630,21.0000,0.00162
631,21.0333,0.00168
632,21.0667,0.00170
633,21.1000,0.00244
634,21.1333,0.00382
635,21.1667,0.00467
636,21.2000,0.00416
637,21.2333,0.00454
638,21.2667,0.00416
639,21.3000,0.00299
640,21.3333,0.00252
641,21.3667,0.00181
642,21.4000,0.00160
643,21.4333,0.00215
644,21.4667,0.00225
645,21.5000,0.00314
646,21.5333,0.00296
647,21.5667,0.00292
648,21.6000,0.00205
649,21.6333,0.00257
650,21.6667,0.00392
651,21.7000,0.00260
652,21.7333,0.00275
653,21.7667,0.00360
654,21.8000,0.00368
655,21.8333,0.00418
656,21.8667,0.00361
657,21.9000,0.00297
658,21.9333,0.00386
659,21.9667,0.00322
660,22.0000,0.00253
661,22.0333,0.00286
662,22.0667,0.00179
663,22.1000,0.00126
664,22.1333,0.00071
665,22.1667,0.00177
666,22.2000,0.00335
667,22.2333,0.00416
668,22.2667,0.00192
669,22.3000,0.00246
670,22.3333,0.00405
671,22.3667,0.00370
672,22.4000,0.00358
673,22.4333,0.00285
674,22.4667,0.00198
675,22.5000,0.00177
676,22.5333,0.00235
677,22.5667,0.00234
678,22.6000,0.00188
679,22.6333,0.00154
680,22.6667,0.00119
681,22.7000,0.00142
682,22.7333,0.00181
683,22.7667,0.00225
684,22.8000,0.00267
685,22.8333,0.00243
686,22.8667,0.00112
687,22.9000,0.00142
688,22.9333,0.00115
689,22.9667,0.00183
690,23.0000,0.00202
691,23.0333,0.00191
692,23.0667,0.00164
693,23.1000,0.00131
694,23.1333,0.00110
695,23.1667,0.00198
696,23.2000,0.00256
697,23.2333,0.00396
698,23.2667,0.00457
699,23.3000,0.00355
700,23.3333,0.00503
701,23.3667,0.00563
702,23.4000,0.00465
703,23.4333,0.00450
704,23.4667,0.00389
705,23.5000,0.00281
706,23.5333,0.00255
707,23.5667,0.00260
708,23.6000,0.00154
709,23.6333,0.00157
710,23.6667,0.00414
711,23.7000,0.00600
712,23.7333,0.00433
713,23.7667,0.00292
714,23.8000,0.00319
715,23.8333,0.00312
716,23.8667,0.00180
717,23.9000,0.00246
718,23.9333,0.00331
719,23.9667,0.00270
720,24.0000,0.00258
721,24.0333,0.00445
722,24.0667,0.00585
723,24.1000,0.00581
724,24.1333,0.00301
725,24.1667,0.00177
726,24.2000,0.00268
727,24.2333,0.00248
728,24.2667,0.00186
729,24.3000,0.00287
730,24.3333,0.00263
731,24.3667,0.00222
732,24.4000,0.00114
733,24.4333,0.00122
734,24.4667,0.00195
735,24.5000,0.00222
736,24.5333,0.00235
737,24.5667,0.00330
738,24.6000,0.64728
739,24.6333,0.00789
740,24.6667,0.00796
741,24.7000,0.00537
742,24.7333,0.00529
743,24.7667,0.00471
744,24.8000,0.00502
745,24.8333,0.00676
746,24.8667,0.00711
747,24.9000,0.00600
748,24.9333,0.00469
749,24.9667,0.00272
750,25.0000,0.00196
751,25.0333,0.00200
752,25.0667,0.00239
753,25.1000,0.00333
754,25.1333,0.00375
755,25.1667,0.00351
756,25.2000,0.00347
757,25.2333,0.00278
758,25.2667,0.00171
759,25.3000,0.00227
760,25.3333,0.00233
761,25.3667,0.00442
762,25.4000,0.00656
763,25.4333,0.00945
764,25.4667,0.00731
765,25.5000,0.00656
766,25.5333,0.00671
767,25.5667,0.00405
768,25.6000,0.00395
769,25.6333,0.00403
770,25.6667,0.00364
771,25.7000,0.00252
772,25.7333,0.00287
773,25.7667,0.00269
774,25.8000,0.00291
775,25.8333,0.00328
776,25.8667,0.00208
777,25.9000,0.00197
778,25.9333,0.00266
779,25.9667,0.00257
780,26.0000,0.00171
781,26.0333,0.00208
782,26.0667,0.00240
783,26.1000,0.00249
784,26.1333,0.00238
785,26.1667,0.00262
786,26.2000,0.00285
787,26.2333,0.00274
788,26.2667,0.00365
789,26.3000,0.00468
790,26.3333,0.00623
791,26.3667,0.00603
792,26.4000,0.00354
793,26.4333,0.00298
794,26.4667,0.00421
795,26.5000,0.00372
796,26.5333,0.00212
797,26.5667,0.00161
798,26.6000,0.00196
799,26.6333,0.00153
800,26.6667,0.00183
801,26.7000,0.00268
802,26.7333,0.00223
803,26.7667,0.00337
804,26.8000,0.00473
805,26.8333,0.00292
806,26.8667,0.00466
807,26.9000,0.00514
808,26.9333,0.00507
809,26.9667,0.00426
810,27.0000,0.00372
811,27.0333,0.00170
812,27.0667,0.00193
813,27.1000,0.00662
814,27.1333,0.00662
815,27.1667,0.00646
816,27.2000,0.00503
817,27.2333,0.00177
818,27.2667,0.00180
819,27.3000,0.00213
820,27.3333,0.00410
821,27.3667,0.00447
822,27.4000,0.00272
823,27.4333,0.00327
824,27.4667,0.00255
825,27.5000,0.00102
826,27.5333,0.00103
827,27.5667,0.00085
828,27.6000,0.00070
829,27.6333,0.00122
830,27.6667,0.00225
831,27.7000,0.00255
832,27.7333,0.00419
833,27.7667,0.00499
834,27.8000,0.00417
835,27.8333,0.00257
836,27.8667,0.00084
837,27.9000,0.00114
838,27.9333,0.00186
839,27.9667,0.00225
840,28.0000,0.00218
841,28.0333,0.00248
842,28.0667,0.00270
843,28.1000,0.00163
844,28.1333,0.00307
845,28.1667,0.00394
846,28.2000,0.00386
847,28.2333,0.00296
848,28.2667,0.00292
849,28.3000,0.00243
850,28.3333,0.00196
851,28.3667,0.00235
852,28.4000,0.00107
853,28.4333,0.00228
854,28.4667,0.00331
855,28.5000,0.00362
856,28.5333,0.00148
857,28.5667,0.00121
858,28.6000,0.00170
859,28.6333,0.00240
860,28.6667,0.00225
861,28.7000,0.00159
862,28.7333,0.00115
863,28.7667,0.00092
864,28.8000,0.00102
865,28.8333,0.00126
866,28.8667,0.00158
867,28.9000,0.00162
868,28.9333,0.00276
869,28.9667,0.00435
870,29.0000,0.00472
871,29.0333,0.00374
872,29.0667,0.00166
873,29.1000,0.00235
874,29.1333,0.00527
875,29.1667,0.00459
876,29.2000,0.00272
877,29.2333,0.00398
878,29.2667,0.00455
879,29.3000,0.00510
880,29.3333,0.00401
881,29.3667,0.00445
882,29.4000,0.00413
883,29.4333,0.00252
884,29.4667,0.00195
885,29.5000,0.00247
886,29.5333,0.00227
887,29.5667,0.00122
888,29.6000,0.00080
889,29.6333,0.00102
890,29.6667,0.00128
891,29.7000,0.00128
892,29.7333,0.00128
893,29.7667,0.00069
894,29.8000,0.00129
895,29.8333,0.00105
896,29.8667,0.00089
897,29.9000,0.00151
898,29.9333,0.00254
899,29.9667,0.00349
900,30.0000,0.00424
901,30.0333,0.00469
902,30.0667,0.00432
903,30.1000,0.00308
904,30.1333,0.00349
905,30.1667,0.00385
906,30.2000,0.00389
907,30.2333,0.00431
908,30.2667,0.00470
909,30.3000,0.00440
910,30.3333,0.00212
911,30.3667,0.00296
912,30.4000,0.00422
913,30.4333,0.00408
914,30.4667,0.00333
915,30.5000,0.00294
916,30.5333,0.00271
917,30.5667,0.00328
918,30.6000,0.00320
919,30.6333,0.00291
920,30.6667,0.00207
921,30.7000,0.00211
922,30.7333,0.00185
923,30.7667,0.00155
924,30.8000,0.00140
925,30.8333,0.00109
926,30.8667,0.00134
927,30.9000,0.00174
928,30.9333,0.00123
929,30.9667,0.00238
930,31.0000,0.00341
931,31.0333,0.00403
932,31.0667,0.00431
933,31.1000,0.00468
934,31.1333,0.00474
935,31.1667,0.00458
936,31.2000,0.00322
937,31.2333,0.00176
938,31.2667,0.00166
939,31.3000,0.00296
940,31.3333,0.00343
941,31.3667,0.00393
942,31.4000,0.00432
943,31.4333,0.00392
944,31.4667,0.00311
945,31.5000,0.00176
946,31.5333,0.00164
947,31.5667,0.00087
948,31.6000,0.00389
949,31.6333,0.00371
950,31.6667,0.00227
951,31.7000,0.00353
952,31.7333,0.00370
953,31.7667,0.00266
954,31.8000,0.00124
955,31.8333,0.00135
956,31.8667,0.00256
957,31.9000,0.00243
958,31.9333,0.00256
959,31.9667,0.00342
960,32.0000,0.00158
961,32.0333,0.00280
962,32.0667,0.00331
963,32.1000,0.00394
964,32.1333,0.00459
965,32.1667,0.00398
966,32.2000,0.00329
967,32.2333,0.00394
968,32.2667,0.00345
969,32.3000,0.00439
970,32.3333,0.00488
971,32.3667,0.00707
972,32.4000,0.00890
973,32.4333,0.00877
974,32.4667,0.00797
975,32.5000,0.00725
976,32.5333,0.00528
977,32.5667,0.00578
978,32.6000,0.00620
979,32.6333,0.00493
980,32.6667,0.00444
981,32.7000,0.00439
982,32.7333,0.00334
983,32.7667,0.00302
984,32.8000,0.00261
985,32.8333,0.00216
986,32.8667,0.00200
987,32.9000,0.00171
988,32.9333,0.00214
989,32.9667,0.00291
990,33.0000,0.00370
991,33.0333,0.00459
992,33.0667,0.00504
993,33.1000,0.00503
994,33.1333,0.00461
995,33.1667,0.00383
996,33.2000,0.00343
997,33.2333,0.00357
998,33.2667,0.00370
999,33.3000,0.00253
1000,33.3333,0.00277
1001,33.3667,0.00216
1002,33.4000,0.00272
1003,33.4333,0.00324
1004,33.4667,0.00267
1005,33.5000,0.00460
1006,33.5333,0.00366
1007,33.5667,0.00271
1008,33.6000,0.00367
1009,33.6333,0.00436
1010,33.6667,0.00328
1011,33.7000,0.00336
1012,33.7333,0.00322
1013,33.7667,0.00265
1014,33.8000,0.00206
1015,33.8333,0.00201
1016,33.8667,0.00177
1017,33.9000,0.00121
1018,33.9333,0.00291
1019,33.9667,0.00176
1020,34.0000,0.00248
1021,34.0333,0.00355
1022,34.0667,0.00403
1023,34.1000,0.00398
1024,34.1333,0.00343
1025,34.1667,0.00322
1026,34.2000,0.00390
1027,34.2333,0.00382
1028,34.2667,0.00322
1029,34.3000,0.00281
1030,34.3333,0.00227
1031,34.3667,0.00179
1032,34.4000,0.00153
1033,34.4333,0.00110
1034,34.4667,0.00160
1035,34.5000,0.00155
1036,34.5333,0.00153
1037,34.5667,0.00169
1038,34.6000,0.00130
1039,34.6333,0.00130
1040,34.6667,0.00198
1041,34.7000,0.00397
1042,34.7333,0.00584
1043,34.7667,0.00467
1044,34.8000,0.00257
1045,34.8333,0.00164
1046,34.8667,0.00103
1047,34.9000,0.00136
1048,34.9333,0.00129
1049,34.9667,0.00174
1050,35.0000,0.00231
1051,35.0333,0.00259
1052,35.0667,0.00273
1053,35.1000,0.00461
1054,35.1333,0.00578
1055,35.1667,0.00542
1056,35.2000,0.00383
1057,35.2333,0.00523
1058,35.2667,0.00557
1059,35.3000,0.00415
1060,35.3333,0.00305
1061,35.3667,0.00268
1062,35.4000,0.00173
1063,35.4333,0.00132
1064,35.4667,0.00105
1065,35.5000,0.00114
1066,35.5333,0.00175
1067,35.5667,0.00168
1068,35.6000,0.00159
1069,35.6333,0.00109
1070,35.6667,0.00126
1071,35.7000,0.00158
1072,35.7333,0.00181
1073,35.7667,0.00252
1074,35.8000,0.00304
1075,35.8333,0.00399
1076,35.8667,0.00433
1077,35.9000,0.00393
1078,35.9333,0.00278
1079,35.9667,0.00271
1080,36.0000,0.00326
1081,36.0333,0.00275
1082,36.0667,0.00424
1083,36.1000,0.00357
1084,36.1333,0.00273
1085,36.1667,0.00241
1086,36.2000,0.00198
1087,36.2333,0.00203
1088,36.2667,0.00209
1089,36.3000,0.00205
1090,36.3333,0.00203
1091,36.3667,0.00286
1092,36.4000,0.00402
1093,36.4333,0.00510
1094,36.4667,0.00437
1095,36.5000,0.00283
1096,36.5333,0.00284
1097,36.5667,0.00320
1098,36.6000,0.00203
1099,36.6333,0.00205
1100,36.6667,0.00163
1101,36.7000,0.00216
1102,36.7333,0.00352
1103,36.7667,0.00443
1104,36.8000,0.00346
1105,36.8333,0.00311
1106,36.8667,0.00287
1107,36.9000,0.00156
1108,36.9333,0.00281
1109,36.9667,0.00480
1110,37.0000,0.00545
1111,37.0333,0.00486
1112,37.0667,0.00246
1113,37.1000,0.00147
1114,37.1333,0.00274
1115,37.1667,0.00283
1116,37.2000,0.00194
1117,37.2333,0.00167
1118,37.2667,0.00105
1119,37.3000,0.00089
1120,37.3333,0.00092
1121,37.3667,0.00109
1122,37.4000,0.00063
1123,37.4333,0.00090
1124,37.4667,0.00129
1125,37.5000,0.00112
1126,37.5333,0.00313
1127,37.5667,0.00343
1128,37.6000,0.00389
1129,37.6333,0.00328
1130,37.6667,0.00273
1131,37.7000,0.00269
1132,37.7333,0.00223
1133,37.7667,0.00229
1134,37.8000,0.00272
1135,37.8333,0.00358
1136,37.8667,0.00440
1137,37.9000,0.00525
1138,37.9333,0.00536
1139,37.9667,0.00615
1140,38.0000,0.00619
1141,38.0333,0.00313
1142,38.0667,0.00446
1143,38.1000,0.00411
1144,38.1333,0.00366
1145,38.1667,0.00461
1146,38.2000,0.00513
1147,38.2333,0.00496
1148,38.2667,0.00362
1149,38.3000,0.00547
1150,38.3333,0.00438
